PeakID (cmd=annotatePeaks.pl 4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1963b	chr15	44085969	44086206	+	210	NA	exon (NM_001199876, exon 3 of 3)	promoter-TSS (NR_031695)	-130	NR_031695	100302254		NR_031695	ENSG00000221792	MIR1282	MIRN1282|hsa-mir-1282	microRNA 1282	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4953	chr6	166385873	166385944	+	210	NA	intron (NR_026860, intron 1 of 1)	intron (NR_026860, intron 1 of 1)	-15131	NR_027284	441177	Hs.708964	NM_001013720	ENSG00000281832	LINC00602	-	long intergenic non-protein coding RNA 602	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1985	chr15	48624367	48624450	+	210	NA	5' UTR (NM_001948, exon 1 of 6)	promoter-TSS (NM_001948)	43	NM_001948	1854	Hs.527980	NM_001948	ENSG00000128951	DUT	dUTPase	deoxyuridine triphosphatase	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4860	chr6	10730894	10730962	+	210	NA	3' UTR (NM_016462, exon 6 of 6)	3' UTR (NM_016462, exon 6 of 6)	7780	NM_016462	51522	Hs.519557	NM_016462	ENSG00000111843	TMEM14C	C6orf53|HSPC194|MSTP073|NET26|bA421M1.6	transmembrane protein 14C	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2035	chr16	420471	420538	+	209	NA	5' UTR (NM_006428, exon 1 of 6)	promoter-TSS (NM_006428)	65	NM_006428	10573	Hs.513230	NM_006428	ENSG00000086504	MRPL28	MAAT1|p15	mitochondrial ribosomal protein L28	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3969	chr3	33155469	33155570	+	209	NA	5' UTR (NM_006371, exon 1 of 7)	promoter-TSS (NM_006371)	69	NM_006371	10491	Hs.517888	NM_006371	ENSG00000170275	CRTAP	CASP|LEPREL3|OI7|P3H5	cartilage associated protein	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2697	chr18	73404749	73404801	+	208	NA	Intergenic--14475	U2|snRNA|snRNA	-265117	NM_001303482	284274	Hs.666744	NM_001037331	ENSG00000206026	SMIM21	C18orf62	small integral membrane protein 21	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1650	chr13	113634017	113634066	+	208	NA	intron (NM_001112732, intron 1 of 29)	CpG	10506	NM_001112732	23263	Hs.170422	NM_024979	ENSG00000126217	MCF2L	ARHGEF14|DBS|OST	MCF.2 cell line derived transforming sequence like	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_466	chr1	180727915	180727969	+	208	NA	intron (NM_004736, intron 2 of 14)	U6|snRNA|snRNA	126796	NM_004736	9213	Hs.227656	NM_004736	ENSG00000143324	XPR1	IBGC6|SYG1|X3	xenotropic and polytropic retrovirus receptor 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5575	chr9	18540301	18540351	+	208	NA	intron (NM_001040272, intron 3 of 28)	U2|snRNA|snRNA	-32978	NR_036107	100422869		NR_036107	ENSG00000264638	MIR3152	-	microRNA 3152	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2155	chr16	31105940	31106114	+	208	NA	5' UTR (NM_001311311, exon 1 of 4)	exon (NM_001311311, exon 1 of 4)	293	NM_001311311	79001	Hs.324844	NM_024006	ENSG00000167397	VKORC1	EDTP308|MST134|MST576|VKCFD2|VKOR	vitamin K epoxide reductase complex subunit 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4386	chr5	66283286	66283349	+	208	NA	intron (NM_001290226, intron 1 of 26)	TTS (NM_198828)	16665	NR_111908	101928794	Hs.672435	NR_111908		LOC101928794	-	uncharacterized LOC101928794	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5153	chr6	158589382	158589450	+	208	NA	5' UTR (NM_207118, exon 1 of 3)	promoter-TSS (NM_032861)	37	NM_207118	404672	Hs.356224	NM_207118	ENSG00000272047	GTF2H5	C6orf175|TFB5|TFIIH|TGF2H5|TTD|TTD-A|TTD3|TTDA|bA120J8.2	general transcription factor IIH subunit 5	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_21	chr1	8429528	8429592	+	208	NA	intron (NM_012102, intron 13 of 23)	U5|snRNA|snRNA	51415	NM_001080397	50651	Hs.463036	NM_001080397	ENSG00000162426	SLC45A1	DNB5	solute carrier family 45, member 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1147	chr11	111799134	111799192	+	208	NA	intron (NM_001278542, intron 1 of 5)	5S|rRNA|rRNA	1295	NM_001278542	85458	Hs.655626	NM_033425	ENSG00000150764	DIXDC1	CCD1	DIX domain containing 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2522	chr17	41151972	41152062	+	208	NA	exon (NM_000988, exon 3 of 5)	exon (NM_000988, exon 3 of 5)	1571	NM_000988	6155	Hs.514196	NM_000988	ENSG00000131469	RPL27	L27	ribosomal protein L27	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3558	chr21	42027664	42027713	+	208	NA	intron (NR_073202, intron 3 of 32)	MLT1A1|LTR|ERVL-MaLR	-24995	NR_046774	100874326	Hs.679746	NR_046774	ENSG00000233756	DSCAM-IT1	zag4	DSCAM intronic transcript 1	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4172	chr3	169381252	169381302	+	208	NA	5' UTR (NM_004991, exon 1 of 17)	5' UTR (NM_004991, exon 1 of 17)	286	NM_001205194	2122	Hs.744090	NM_004991	ENSG00000085276	MECOM	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3	MDS1 and EVI1 complex locus	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3802	chr21	46664114	46664175	+	208	NA	Intergenic--16322	U2|snRNA|snRNA	43667	NR_004858	23275	Hs.592164	NM_015227	ENSG00000186866	POFUT2	C21orf80|FUT13	protein O-fucosyltransferase 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5880	chr9	128420641	128420690	+	208	NA	intron (NM_001006621, intron 1 of 9)	U2|snRNA|snRNA	48848	NM_001006618	79109	Hs.495138	NM_024117	ENSG00000119487	MAPKAP1	JC310|MIP1|SIN1|SIN1b|SIN1g	mitogen-activated protein kinase associated protein 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_313	chr1	116821228	116821282	+	208	NA	Intergenic--879	U3|snRNA|snRNA	-94540	NM_000701	476	Hs.371889	NM_000701	ENSG00000163399	ATP1A1	-	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3530	chr21	27277305	27277381	+	208	NA	exon (NM_001136129, exon 12 of 15)	exon (NM_001136129, exon 12 of 15)	-169378	NM_001003703	522	Hs.246310	NM_001685	ENSG00000154723	ATP5J	ATP5|ATP5A|ATPM|CF6|F6	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3366	chr2	125728170	125728219	+	208	NA	Intergenic--2340	U2|snRNA|snRNA	945330	NM_130773	129684	Hs.660653	NM_130773	ENSG00000155052	CNTNAP5	caspr5	contactin associated protein-like 5	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3950	chr3	17706466	17706537	+	208	NA	intron (NM_001134381, intron 1 of 23)	U7|snRNA|snRNA	35011	NM_001134381	9779	Hs.475629	NM_014744	ENSG00000131374	TBC1D5	-	TBC1 domain family, member 5	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4029	chr4	4922743	4922792	+	208	NA	non-coding (NR_125893, exon 1 of 3)	non-coding (NR_125893, exon 1 of 3)	232	NR_125893	101928306	Hs.543743	NR_125893		LOC101928306	-	uncharacterized LOC101928306	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2475	chr17	43404804	43404864	+	208	NA	Intergenic--13873	5S|rRNA|rRNA	-10404	NM_003954	9020	Hs.404183	NM_003954	ENSG00000006062	MAP3K14	FTDCR1B|HS|HSNIK|NIK	mitogen-activated protein kinase kinase kinase 14	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1731	chr14	53417717	53417792	+	208	NA	5' UTR (NM_006832, exon 1 of 15)	promoter-TSS (NM_006832)	61	NM_001134999	10979	Hs.509343	NM_006832	ENSG00000073712	FERMT2	KIND2|MIG2|PLEKHC1|UNC112|UNC112B|mig-2	fermitin family member 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6009	chrX	153236462	153236551	+	207	NA	5' UTR (NM_005334, exon 1 of 26)	TTS (NR_046608)	313	NM_005334	3054	Hs.83634	NM_005334	ENSG00000172534	HCFC1	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	host cell factor C1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_901	chr11	910743	910824	+	207	NA	5' UTR (NM_001142674, exon 1 of 14)	promoter-TSS (NM_001142674)	91	NM_001142674	66005	Hs.144468	NM_023947	ENSG00000177830	CHID1	GL008|SI-CLP|SICLP	chitinase domain containing 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4821a	chr5	179260041	179260265	+	207	NA	exon (NM_001142298, exon 7 of 9)	exon (NM_001142298, exon 7 of 9)	12311	NM_003900	8878	Hs.587290	NM_003900	ENSG00000161011	SQSTM1	A170|FTDALS3|OSIL|PDB3|ZIP3|p60|p62|p62B	sequestosome 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1332	chr12	50146254	50146333	+	207	NA	5' UTR (NM_003217, exon 2 of 10)	exon (NM_001098576, exon 2 of 10)	10701	NM_001098576	7009	Hs.743965	NM_003217	ENSG00000139644	TMBIM6	BAXI1|BI-1|TEGT	transmembrane BAX inhibitor motif containing 6	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5428	chr8	101724945	101725005	+	206	NA	exon (NM_002568, exon 6 of 15)	exon (NM_002568, exon 6 of 15)	9340	NM_002568	26986	Hs.387804	NM_002568	ENSG00000070756	PABPC1	PAB1|PABP|PABP1|PABPC2|PABPL1	poly(A) binding protein, cytoplasmic 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1938	chr15	60653104	60653191	+	206	NA	exon (NM_004039, exon 5 of 13)	exon (NM_004039, exon 5 of 13)	37038	NM_001136015	302	Hs.511605	NM_004039	ENSG00000182718	ANXA2	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	annexin A2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_41	chr1	16693733	16693811	+	206	NA	5' UTR (NM_001114600, exon 1 of 4)	exon (NM_001114600, exon 1 of 4)	247	NR_073500	26099	Hs.252967	NM_001114600	ENSG00000055070	SZRD1	C1orf144	SUZ RNA binding domain containing 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4394	chr4	152024979	152025049	+	206	NA	non-coding (NR_000007, exon 1 of 1)	promoter-TSS (NR_000007)	35	NR_000007	8944		NR_000007	ENSG00000208797	SNORD73A	RNU73|RNU73A|U73|U73a	small nucleolar RNA, C/D box 73A	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3137	chr2	10262866	10262958	+	206	NA	5' UTR (NM_001034, exon 1 of 10)	promoter-TSS (NM_001034)	49	NM_001034	6241	Hs.226390	NM_001034	ENSG00000171848	RRM2	R2|RR2|RR2M	ribonucleotide reductase M2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3531	chr2	232576088	232576168	+	206	NA	exon (NM_002823, exon 2 of 5)	exon (NM_002823, exon 2 of 5)	-1896	NR_036052	100302285		NR_036052		MIR1244-1	MIR1244|MIRN1244|hsa-mir-1244|hsa-mir-1244-1	microRNA 1244-1	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2653	chr18	33709224	33709334	+	206	NA	5' UTR (NM_001099406, exon 1 of 8)	promoter-TSS (NM_001099406)	78	NM_012319	25800	Hs.79136	NM_012319	ENSG00000141424	SLC39A6	LIV-1|ZIP6	solute carrier family 39 (zinc transporter), member 6	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3971	chr3	179322335	179322426	+	206	NA	5' UTR (NM_177988, exon 1 of 6)	promoter-TSS (NM_177988)	54	NM_020409	57129	Hs.283734	NM_020409	ENSG00000136522	MRPL47	CGI-204|L47mt|MRP-L47|NCM1	mitochondrial ribosomal protein L47	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3662	chr22	41252575	41252654	+	206	NA	5' UTR (NM_001278589, exon 1 of 12)	promoter-TSS (NM_022098)	398	NM_003932	6767	Hs.712713	NM_003932	ENSG00000100380	ST13	AAG2|FAM10A1|FAM10A4|HIP|HOP|HSPABP|HSPABP1|P48|PRO0786|SNC6	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5372	chr8	67971609	67971670	+	205	NA	exon (NM_006837, exon 2 of 8)	exon (NM_006837, exon 2 of 8)	2923	NM_006837	10987	Hs.491912	NM_006837	ENSG00000121022	COPS5	CSN5|JAB1|MOV-34|SGN5	COP9 signalosome subunit 5	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5597	chr9	21968031	21968182	+	205	NA	3' UTR (NM_001195132, exon 4 of 4)	TTS (NR_024274)	968	NR_024274	51198	Hs.721053	NM_016349		CDKN2A-AS1	C9orf53|bA149I2.3	CDKN2A antisense RNA 1 (head to head)	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2851	chr19	8527423	8527495	+	205	NA	exon (NM_005968, exon 3 of 16)	exon (NM_005968, exon 3 of 16)	17656	NM_031203	4670	Hs.465808	NM_005968	ENSG00000099783	HNRNPM	CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M	heterogeneous nuclear ribonucleoprotein M	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3374	chr2	232327952	232328015	+	205	NA	exon (NM_005381, exon 2 of 14)	exon (NM_005381, exon 2 of 14)	1222	NM_005381	4691	Hs.79110	NM_005381		NCL	C23	nucleolin	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_812	chr10	124913924	124914017	+	205	NA	5' UTR (NM_004725, exon 1 of 8)	5' UTR (NM_004725, exon 1 of 8)	210	NM_001007793	9184	Hs.418533	NM_004725	ENSG00000154473	BUB3	BUB3L|hBUB3	BUB3 mitotic checkpoint protein	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_821	chr10	127512115	127512205	+	205	NA	5' UTR (NM_016567, exon 1 of 8)	promoter-TSS (NM_016567)	56	NM_078469	56647	Hs.370292	NM_016567	ENSG00000107949	BCCIP	TOK-1|TOK1	BRCA2 and CDKN1A interacting protein	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4944	chr6	29693278	29693333	+	204	NA	exon (NM_001098479, exon 5 of 7)	exon (NM_001098479, exon 5 of 7)	2188	NM_001098479	3134	Hs.519972	NM_018950	ENSG00000204642	HLA-F	CDA12|HLA-5.4|HLA-CDA12|HLAF	major histocompatibility complex, class I, F	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4136	chr4	89606004	89606061	+	204	NA	intron (NM_014606, intron 21 of 25)	U6|snRNA|snRNA	12991	NM_153757	266812	Hs.12554	NM_153757	ENSG00000177432	NAP1L5	DRLM	nucleosome assembly protein 1-like 5	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2849b	chr19	8509861	8510025	+	204	NA	5' UTR (NM_001297418, exon 1 of 14)	exon (NM_005968, exon 1 of 16)	140	NM_031203	4670	Hs.465808	NM_005968	ENSG00000099783	HNRNPM	CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M	heterogeneous nuclear ribonucleoprotein M	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4987	chr6	33257376	33257458	+	204	NA	5' UTR (NM_001185181, exon 1 of 4).2	promoter-TSS (NM_001164267)	5	NM_001185181	10471	Hs.446374	NM_014260	ENSG00000204220	PFDN6	H2-KE2|HKE2|KE-2|PFD6	prefoldin subunit 6	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5277	chr8	17352689	17352750	+	204	NA	Intergenic--7234	Intergenic	-1878	NM_001008539	6542	Hs.448520	NM_003046	ENSG00000003989	SLC7A2	ATRC2|CAT2|HCAT2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1381	chr12	56435704	56435757	+	204	NA	5' UTR (NM_001029, exon 1 of 4)	promoter-TSS (NM_001029)	44	NM_001029	6231	Hs.447562	NM_001029	ENSG00000197728	RPS26	DBA10|S26	ribosomal protein S26	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2739	chr18	19320756	19320853	+	204	NA	Intergenic	promoter-TSS (NM_020774)	-486	NM_020774	57534	Hs.140903	NM_020774	ENSG00000101752	MIB1	DIP-1|DIP1|LVNC7|MIB|ZZANK2|ZZZ6	mindbomb E3 ubiquitin protein ligase 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5206	chr7	123197802	123197876	+	204	NA	5' UTR (NM_001282422, exon 1 of 4)	promoter-TSS (NM_001282421)	-14	NM_001282421	4698	Hs.651219	NM_005000	ENSG00000128609	NDUFA5	B13|CI-13KD-B|CI-13kB|NUFM|UQOR13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3738	chr3	33835170	33835222	+	204	NA	Intergenic--2996	U3|snRNA|snRNA	-4867	NM_001256192	10015	Hs.475896	NM_013374	ENSG00000170248	PDCD6IP	AIP1|ALIX|DRIP4|HP95	programmed cell death 6 interacting protein	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1160	chr11	77790848	77790926	+	204	NA	5' UTR (NM_001203262, exon 1 of 3)	5' UTR (NM_001203262, exon 1 of 3)	378	NM_001203262	100532726	Hs.407860	NM_001203260	ENSG00000151364	NDUFC2-KCTD14	-	NDUFC2-KCTD14 readthrough	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3456	chr2	198380780	198380854	+	204	NA	5' UTR (NM_015387, exon 1 of 8)	promoter-TSS (NM_001204094)	50	NM_001100819	25843	Hs.633165	NM_015387	ENSG00000115540	MOB4	2C4D|CGI-95|MOB1|MOB3|MOBKL3|PHOCN|PREI3	MOB family member 4, phocein	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4604	chr6	9012606	9012662	+	204	NA	Intergenic--5421	U2|snRNA|snRNA	360192	NR_004855	728655	Hs.214343	NR_004855	ENSG00000251164	HULC	HCCAT1|LINC00078|NCRNA00078	hepatocellular carcinoma up-regulated long non-coding RNA	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3400	chr2	170672789	170672838	+	204	NA	intron (NM_001293186, intron 5 of 7)	U3|snRNA|snRNA	8628	NM_014168	29081	Hs.470553	NM_014168	ENSG00000138382	METTL5	HSPC133	methyltransferase like 5	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1538	chr13	23270873	23270924	+	204	NA	Intergenic--11206	CpG	201422	NR_033774	646201	Hs.729338	NR_033774		BASP1P1	-	brain abundant, membrane attached signal protein 1 pseudogene 1	pseudo
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4083b	chr4	57976047	57976552	+	203	NA	exon (NM_001553, exon 1 of 5)	exon (NM_001553, exon 1 of 5)	252	NM_001253835	3490	Hs.479808	NM_001553	ENSG00000163453	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	insulin like growth factor binding protein 7	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4706	chr6	31774518	31774596	+	203	NA	5' UTR (NM_021177, exon 1 of 5).5	5' UTR (NM_021177, exon 1 of 5).5	204	NM_021177	57819	Hs.103106	NM_021177	ENSG00000204392	LSM2	C6orf28|G7B|YBL026W|snRNP	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1127	chr11	71159303	71159439	+	203	NA	5' UTR (NM_001163817, exon 1 of 9)	5' UTR (NM_001163817, exon 1 of 9)	106	NM_001360	1717	Hs.503134	NM_001360	ENSG00000172893	DHCR7	SLOS	7-dehydrocholesterol reductase	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1045	chr11	65769965	65770035	+	203	NA	5' UTR (NM_001143985, exon 1 of 3)	promoter-TSS (NM_032325)	-363	NM_001242484	84285	Hs.425178	NM_032325	ENSG00000175376	EIF1AD	haponin	eukaryotic translation initiation factor 1A domain containing	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2886	chr19	40336932	40337020	+	203	NA	5' UTR (NM_001436, exon 1 of 9)	promoter-TSS (NM_001436)	78	NM_001436	2091	Hs.299002	NM_001436	ENSG00000105202	FBL	FIB|FLRN|RNU3IP1	fibrillarin	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4709	chr6	32095932	32095998	+	203	NA	5' UTR (NM_004381, exon 1 of 18)	promoter-TSS (NM_004381)	52	NM_001136153	1388	Hs.42853	NM_004381	ENSG00000213676	ATF6B	CREB-RP|CREBL1|G13	activating transcription factor 6 beta	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1352	chr12	52627285	52627373	+	203	NA	exon (NM_005556, exon 1 of 9)	exon (NM_005556, exon 1 of 9)	375	NM_005556	3855	Hs.411501	NM_005556	ENSG00000135480	KRT7	CK7|K2C7|K7|SCL	keratin 7, type II	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3016	chr2	20251251	20251415	+	203	NA	5' UTR (NM_014713, exon 1 of 7)	5' UTR (NM_014713, exon 1 of 7)	456	NM_014713	9741	Hs.467807	NM_014713	ENSG00000068697	LAPTM4A	HUMORF13|LAPTM4|MBNT|Mtrp	lysosomal protein transmembrane 4 alpha	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_324	chr1	115300536	115300601	+	203	NA	5' UTR (NM_007158, exon 1 of 19)	5' UTR (NM_007158, exon 1 of 19)	103	NM_001242892	7812	Hs.69855	NM_007158	ENSG00000009307	CSDE1	D1S155E|UNR	cold shock domain containing E1, RNA binding	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3039	chr19	47634092	47634252	+	202	NA	5' UTR (NM_005500, exon 1 of 9)	promoter-TSS (NM_005500)	57	NR_027280	10055	Hs.515500	NM_005500	ENSG00000142230	SAE1	AOS1|HSPC140|SUA1|UBLE1A	SUMO1 activating enzyme subunit 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5021	chr6	44218032	44218148	+	202	NA	exon (NM_007355, exon 6 of 12)	exon (NM_007355, exon 6 of 12)	3395	NM_007355	3326	Hs.509736	NM_007355	ENSG00000096384	HSP90AB1	D6S182|HSP84|HSP90B|HSPC2|HSPCB	heat shock protein 90kDa alpha (cytosolic), class B member 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5454a	chr7	134632269	134632523	+	202	NA	exon (NM_004342, exon 7 of 14)	exon (NM_004342, exon 7 of 14)	-38863	NM_178563	340351	Hs.648616	NM_178563	ENSG00000146856	AGBL3	CCP3	ATP/GTP binding protein-like 3	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1369b	chr12	53848518	53848684	+	202	NA	5' UTR (NM_001128914, exon 2 of 13)	exon (NM_001128914, exon 2 of 13)	2715	NM_005016	5094	Hs.546271	NM_005016	ENSG00000197111	PCBP2	HNRNPE2|HNRPE2|hnRNP-E2	poly(rC) binding protein 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6123	chrX	102631452	102631542	+	202	NA	5' UTR (NM_206917, exon 1 of 3)	promoter-TSS (NM_014380)	246	NM_206917	27018	Hs.448588	NM_014380	ENSG00000166681	NGFRAP1	BEX3|Bex|DXS6984E|HGR74|NADE	nerve growth factor receptor (TNFRSF16) associated protein 1	protein-coding
